Name,Size_x,Size_y,Offset_x,Offset_y
Melee_Up,157.0,189.0,0.0,39.0
Melee_Down,157.0,193.0,0.0,46.5
Melee_Left,157.0,189.0,-1.35,61.5
Melee_Right,157.0,189.0,1.35,61.5
Skill1_Up,114.0,422.0,0.0,-117.0
Skill1_Down,114.0,442.0,0.0,201.0
Skill1_Left,442.0,114.0,171.0,47.0
Skill1_Right,442.0,114.0,-171.0,47.0
Skill3_Up,0.0,0.0,0.0,0.0
Skill3_Down,0.0,0.0,0.0,0.0
Skill3_Left,0.0,0.0,0.0,0.0
Skill3_Right,0.0,0.0,0.0,0.0
Skill4_Up,0.0,0.0,0.0,0.0
Skill4_Down,0.0,0.0,0.0,0.0
Skill4_Left,0.0,0.0,0.0,0.0
Skill4_Right,0.0,0.0,0.0,0.0
