Name,Size_x,Size_y,Offset_x,Offset_y
Melee1_Up,0.99,0.8,0.035,0.45
Melee1_Down,0.99,0.8,-0.035,0.2
Melee1_Left,0.97,0.98,-0.195,0.19
Melee1_Right,0.97,0.92,0.195,0.16
Melee2_Up,0.99,0.8,-0.035,0.2
Melee2_Down,0.99,0.8,0.035,0.2
Melee2_Left,1.04,0.97,-0.16,0.19
Melee2_Right,1.04,0.97,0.19,0.19
Skill1_Up,0,0,0,0
Skill1_Down,0,0,0,0
Skill1_Left,0,0,0,0
Skill1_Right,0,0,0,0
Skill2_Up,0,0,0,0
Skill2_Down,0,0,0,0
Skill2_Left,0,0,0,0
Skill2_Right,0,0,0,0
Skill3_Up,0,0,0,0
Skill3_Down,0,0,0,0
Skill3_Left,0,0,0,0
Skill3_Right,0,0,0,0
Skill4_Up,0,0,0,0
Skill4_Down,0,0,0,0
Skill4_Left,0,0,0,0
Skill4_Right,0,0,0,0
