Name,Size_x,Size_y,Offset_x,Offset_y
Melee1_Up,11,17,9.5,4.95
Melee1_Down,11,17,-8.5,13.5
Melee1_Left,18,14,-28,39
Melee1_Right,18,14,28,39
Melee2_Up,10,23,0,0
Melee2_Down,10,23,0,0
Melee2_Left,23,10,0,0
Melee2_Right,23,10,0,0
Skill1_Up,0,0,0,0
Skill1_Down,0,0,0,0
Skill1_Left,0,0,0,0
Skill1_Right,0,0,0,0
Skill2_Up,0,0,0,0
Skill2_Down,0,0,0,0
Skill2_Left,0,0,0,0
Skill2_Right,0,0,0,0
Skill3_Up,0,0,0,0
Skill3_Down,0,0,0,0
Skill3_Left,0,0,0,0
Skill3_Right,0,0,0,0
Skill4_Up,0,0,0,0
Skill4_Down,0,0,0,0
Skill4_Left,0,0,0,0
Skill4_Right,0,0,0,0
