Name,Size_x,Size_y,Offset_x,Offset_y
Melee_Up,0.21,0.35,-0.005,0.245
Melee_Down,0.21,0.35,0.005,0.245
Melee_Left,0.21,0.35,-0.025,0.245
Melee_Right,0.21,0.35,0.025,0.245
Skill1_Up,0.0,0.0,0.0,0.0
Skill1_Down,0.0,0.0,0.0,0.0
Skill1_Left,0.0,0.0,0.0,0.0
Skill1_Right,0.0,0.0,0.0,0.0
Skill2_Up,0.0,0.0,0.0,0.0
Skill2_Down,0.0,0.0,0.0,0.0
Skill2_Left,0.0,0.0,0.0,0.0
Skill2_Right,0.0,0.0,0.0,0.0
Skill3_Up,0.0,0.0,0.0,0.0
Skill3_Down,0.0,0.0,0.0,0.0
Skill3_Left,0.0,0.0,0.0,0.0
Skill3_Right,0.0,0.0,0.0,0.0
Skill4_Up,0.0,0.0,0.0,0.0
Skill4_Down,0.0,0.0,0.0,0.0
Skill4_Left,0.0,0.0,0.0,0.0
Skill4_Right,0.0,0.0,0.0,0.0
