Name,Size_x,Size_y,Offset_x,Offset_y
Melee1_Up,1.09,0.86,0.06,0.565
Melee1_Down,1.09,1.1,-0.05,0.275
Melee1_Left,1.14,0.88,-0.005,0.375
Melee1_Right,1.14,0.88,0.005,0.375
Skill1_Up,1.09,0.86,0.06,0.565
Skill1_Down,1.09,1.1,-0.05,0.275
Skill1_Left,1.14,0.88,-0.05,0.375
Skill1_Right,1.14,0.88,0.005,0.375
Skill2_Up,1.09,2.07,0.06,-0.06
Skill2_Down,1.09,2.07,-0.05,0.74
Skill2_Left,2.3,0.88,0.575,0.355
Skill2_Right,2.3,0.88,-0.575,0.355
Skill3_Up,0.0,0.0,0.0,0.0
Skill3_Down,0.0,0.0,0.0,0.0
Skill3_Left,0.0,0.0,0.0,0.0
Skill3_Right,0.0,0.0,0.0,0.0
Skill4_Up,0.0,0.0,0.0,0.0
Skill4_Down,0.0,0.0,0.0,0.0
Skill4_Left,0.0,0.0,0.0,0.0
Skill4_Right,0.0,0.0,0.0,0.0
