Name,Size_x,Size_y,Offset_x,Offset_y
Melee1_Up,0.52,0.14,0,0.03
Melee1_Down,0.52,0.14,0,0.57
Melee1_Left,0.14,0.63,0.4,0.2
Melee1_Right,0.14,0.63,-0.4,0.2
Melee2_Up,1.77,1.19,-0.07,0.34
Melee2_Down,1.77,1.19,-0.005,0.055
Melee2_Left,1.74,1.36,0.07,0.34
Melee2_Right,1.74,1.36,0.02,0.37
Skill1_Up,0,0,0,0
Skill1_Down,0,0,0,0
Skill1_Left,0,0,0,0
Skill1_Right,0,0,0,0
Skill2_Up,0,0,0,0
Skill2_Down,0,0,0,0
Skill2_Left,0,0,0,0
Skill2_Right,0,0,0,0
Skill3_Up,0,0,0,0
Skill3_Down,0,0,0,0
Skill3_Left,0,0,0,0
Skill3_Right,0,0,0,0
Skill4_Up,0,0,0,0
Skill4_Down,0,0,0,0
Skill4_Left,0,0,0,0
Skill4_Right,0,0,0,0
