Name,Size_x,Size_y,Offset_x,Offset_y
Melee1_Up,0.85,0.99,0.035,0.345
Melee1_Down,0.85,0.99,-0.045,0.215
Melee1_Left,0.85,0.99,-0.095,0.265
Melee1_Right,0.85,0.99,0.085,0.265
Melee2_Up,0.96,1.04,-0.05,0.37
Melee2_Down,0.96,1.04,0.04,0.19
Melee2_Left,0.96,1.01,-0.09,0.255
Melee2_Right,0.96,1.01,0.08,0.255
Skill1_Up,0,0,0,0
Skill1_Down,0,0,0,0
Skill1_Left,0,0,0,0
Skill1_Right,0,0,0,0
Skill2_Up,0,0,0,0
Skill2_Down,0,0,0,0
Skill2_Left,0,0,0,0
Skill2_Right,0,0,0,0
Skill3_Up,0,0,0,0
Skill3_Down,0,0,0,0
Skill3_Left,0,0,0,0
Skill3_Right,0,0,0,0
Skill4_Up,0,0,0,0
Skill4_Down,0,0,0,0
Skill4_Left,0,0,0,0
Skill4_Right,0,0,0,0
