Name,Size_x,Size_y,Offset_x,Offset_y
Melee1_Up,0.66,0.65,0.03,0.47
Melee1_Down,0.66,0.65,-0.03,0.15
Melee1_Left,0.66,0.65,-0.14,0.32
Melee1_Right,0.66,0.65,0.14,0.32
Skill1_Up,0.0,0.0,0.0,0.0
Skill1_Down,0.0,0.0,0.0,0.0
Skill1_Left,0.0,0.0,0.0,0.0
Skill1_Right,0.0,0.0,0.0,0.0
Skill2_Up,0.0,0.0,0.0,0.0
Skill2_Down,0.0,0.0,0.0,0.0
Skill2_Left,0.0,0.0,0.0,0.0
Skill2_Right,0.0,0.0,0.0,0.0
Skill3_Up,0.0,0.0,0.0,0.0
Skill3_Down,0.0,0.0,0.0,0.0
Skill3_Left,0.0,0.0,0.0,0.0
Skill3_Right,0.0,0.0,0.0,0.0
Skill4_Up,0.0,0.0,0.0,0.0
Skill4_Down,0.0,0.0,0.0,0.0
Skill4_Left,0.0,0.0,0.0,0.0
Skill4_Right,0.0,0.0,0.0,0.0
