Name,Size_x,Size_y,Offset_x,Offset_y
Melee1_Up,1.57,0.887,0.0,0.78
Melee2_Up,1.0,1.25,0,0,0.97
Melee1_Down,0.32,0.37,-0.61,0.61
Melee2_Down,0.26,0.45,-0.62,0.43
Melee1_Left,1.45,0.8,-0.445,0.615
Melee1_Right,1.45,0.8,0.445,0.615
Skill1_Up,0.8,0.36,0.0,2.325
Skill1_Down,0.8,0.36,0.0,-1.075
Skill1_Left,3.6,0.8,-1.73,0.625
Skill1_Right,3.6,0.8,1.73,0.625
Skill2_Up,0.0,0.0,0.0,0.0
Skill2_Down,0.0,0.0,0.0,0.0
Skill2_Left,0.0,0.0,0.0,0.0
Skill2_Right,0.0,0.0,0.0,0.0
Skill3_Up(¿ø),9.4,7.6,0.0,0.0
Skill4_Up,0.0,0.0,0.0,0.0
Skill4_Down,0.0,0.0,0.0,0.0
Skill4_Left,0.0,0.0,0.0,0.0
Skill4_Right,0.0,0.0,0.0,0.0
