Name,Size_x,Size_y,Offset_x,Offset_y
Melee_Up,2.23,1.85,0.045,1.265
Melee_Down,2.23,1.85,-0.045,0.335
Melee_Left,1.85,2.23,-0.305,0.795
Melee_Right,1.85,2.23,0.305,0.795
Skill1_Up,0.7,0.51,0.0,0.0
Skill1_Down,0.7,0.51,0.0,0.0
Skill1_Left,0.7,0.51,0.0,0.0
Skill1_Right,0.7,0.51,0.0,0.0
Skill2_Up,0.0,0.0,0.0,0.0
Skill2_Down,0.0,0.0,0.0,0.0
Skill2_Left,0.0,0.0,0.0,0.0
Skill2_Right,0.0,0.0,0.0,0.0
Skill3_Up,0.0,0.0,0.0,0.0
Skill3_Down,0.0,0.0,0.0,0.0
Skill3_Left,0.0,0.0,0.0,0.0
Skill3_Right,0.0,0.0,0.0,0.0
Skill4_Up,0.0,0.0,0.0,0.0
Skill4_Down,0.0,0.0,0.0,0.0
Skill4_Left,0.0,0.0,0.0,0.0
Skill4_Right,0.0,0.0,0.0,0.0
