Name,Size_x,Size_y,Offset_x,Offset_y
Melee1_Up,1.58,1.64,0.05,0.665
Melee1_Down,1.41,1.6,0.025,0.205
Melee1_Left,1.73,1.36,-0.155,0.425
Melee1_Right,1.73,1.36,0.155,0.425
Melee2_Up,1.92,1.17,0.17,0.9
Melee2_Down,1.96,1.25,-0.19,0.05
Melee2_Left,2.17,0.89,0.065,0.54
Melee2_Right,2.17,0.89,-0.065,0.54
Melee3_Up,0.88,1.68,0.04,0.635
Melee3_Down,0.79,2.06,-0.105,0.435
Melee3_Left,1.29,1.85,-0.375,0.56
Melee3_Right,1.29,1.85,0.375,0.56
Skill1_Up,0.4,3.21,0,-0.09
Skill1_Down,0.4,3.21,0,1.09
Skill1_Left,3.21,0.4,0.735,0.415
Skill1_Right,3.21,0.4,-0.735,0.415
Skill2_Up,0.73,1.68,0,0.87
Skill2_Down,0.73,1.68,0,-0.87
Skill2_Left,1.68,0.73,0.87,0
Skill2_Right,1.68,0.73,-0.87,0
Skill3_Up,1.92,1.17,0.17,0.9
Skill3_Down,1.96,1.25,-0.19,0.05
Skill3_Left,2.17,0.89,0.065,0.54
Skill3_Right,2.17,0.89,-0.065,0.54
Skill4_Up,0.73,1.68,0,0.87
Skill4_Down,0.73,1.68,0,-0.87
Skill4_Left,1.68,0.73,0.87,0
Skill4_Right,1.68,0.73,-0.87,0
